Date,Close
2020-03-11,34.3
2020-03-12,31.55
2020-03-13,36.1
2020-03-16,35.04
2020-03-17,40.91
2020-03-18,32.57
2020-03-19,33.91
2020-03-20,33.27
2020-03-23,30.92
2020-03-24,31.35
2020-03-25,33.24
2020-03-26,30.91
2020-03-27,27.32
2020-03-30,27.38
2020-03-31,28.9
2020-04-01,30.51
2020-04-02,31.11
2020-04-03,30.92
2020-04-06,32.89
2020-04-07,30.59
2020-04-08,31.87
2020-04-09,34.77
2020-04-13,34.52
2020-04-14,35.22
2020-04-15,31.59
2020-04-16,28.82
2020-04-17,28.06
2020-04-20,28.85
2020-04-21,28.09
2020-04-22,29.54
2020-04-23,25.98
2020-04-24,23.57
2020-04-27,22.82
2020-04-28,25.61
2020-04-29,28.44
2020-04-30,29.19
2020-05-01,26.82
2020-05-04,29.75
2020-05-05,27.52
2020-05-06,26.72
2020-05-07,26.9
2020-05-08,32.58
2020-05-11,31.6
2020-05-12,30.04
2020-05-13,28.45
2020-05-14,28.09
2020-05-15,29.04
2020-05-18,30.79
2020-05-19,31.37
2020-05-20,33.7
2020-05-21,32.75
2020-05-22,31.78
2020-05-26,33.51
2020-05-27,34.55
2020-05-28,34.44
2020-05-29,32.96
2020-06-01,32.25
2020-06-02,31.25
2020-06-03,32.39
2020-06-04,33.77
2020-06-05,37.69
2020-06-08,40.89
2020-06-09,39.05
2020-06-10,37.49
2020-06-11,32.83
2020-06-12,33.01
2020-06-15,33.59
2020-06-16,34.61
2020-06-17,32.48
2020-06-18,31.43
2020-06-19,30.81
2020-06-22,30.48
2020-06-23,30.56
2020-06-24,29.99
2020-06-25,30.17
2020-06-26,29.21
2020-06-29,30.05
2020-06-30,28.41
2020-07-01,28.5
2020-07-02,29.46
2020-07-06,29.98
2020-07-07,29.34
2020-07-08,28.8
2020-07-09,27.4
2020-07-10,28.38
2020-07-13,27.74
2020-07-14,28.15
2020-07-15,29.5
2020-07-16,29.42
2020-07-17,28.64
2020-07-20,28.11
2020-07-21,28.99
2020-07-22,28.34
2020-07-23,29.41
2020-07-24,30.56
2020-07-27,30.02
2020-07-28,29.89
2020-07-29,31.92
2020-07-30,30.95
2020-07-31,31.02
2020-08-03,31.49
2020-08-04,31.42
2020-08-05,31.17
2020-08-06,31.59
2020-08-07,31.72
2020-08-10,33.66
2020-08-11,33.59
2020-08-12,33.02
2020-08-13,32.84
2020-08-14,34.12
2020-08-17,33.55
2020-08-18,33.52
2020-08-19,32.93
2020-08-20,32.79
2020-08-21,32.06
2020-08-24,33.76
2020-08-25,34.95
2020-08-26,34.78
2020-08-27,35.24
2020-08-28,38.17
2020-08-31,37.67
2020-09-01,38.47
2020-09-02,38.36
2020-09-03,38.42
2020-09-04,40.62
2020-09-08,39.19
2020-09-09,39.85
2020-09-10,39.44
2020-09-11,40.72
2020-09-14,44.29
2020-09-15,44.23
2020-09-16,46.3
2020-09-17,48.89
2020-09-18,52.9
2020-09-21,50.08
2020-09-22,50.79
2020-09-23,46.75
2020-09-24,45.63
2020-09-25,46.54
2020-09-28,46.65
2020-09-29,43.12
2020-09-30,42.48
2020-10-01,42.56
2020-10-02,44.79
2020-10-05,46.23
2020-10-06,44.26
2020-10-07,42.0
2020-10-08,41.89
2020-10-09,40.27
2020-10-12,39.32
2020-10-13,37.98
2020-10-14,38.0
2020-10-15,37.44
2020-10-16,37.02
2020-10-19,36.5
2020-10-20,37.9
2020-10-21,37.22
2020-10-22,37.22
2020-10-23,37.34
2020-10-26,36.98
2020-10-27,36.75
2020-10-28,35.85
2020-10-29,29.86
2020-10-30,30.55
2020-11-02,32.36
2020-11-03,30.54
2020-11-04,28.89
2020-11-05,28.82
2020-11-06,29.63
2020-11-09,30.79
2020-11-10,28.95
2020-11-11,29.7
2020-11-12,28.05
2020-11-13,29.31
2020-11-16,30.66
2020-11-17,31.44
2020-11-18,29.91
2020-11-19,30.39
2020-11-20,29.82
2020-11-23,33.22
2020-11-24,34.49
2020-11-25,34.62
2020-11-27,35.32
2020-11-30,33.44
2020-12-01,33.65
2020-12-02,36.41
2020-12-03,37.67
2020-12-04,37.56
2020-12-07,38.25
2020-12-08,40.01
2020-12-09,41.59
2020-12-10,46.5
2020-12-11,45.52
2020-12-14,47.22
2020-12-15,46.79
2020-12-16,45.29
2020-12-17,44.77
2020-12-18,42.36
2020-12-21,43.17
2020-12-22,41.92
2020-12-23,42.25
2020-12-24,40.55
2020-12-28,41.4
2020-12-29,41.54
2020-12-30,43.92
2020-12-31,43.77
2021-01-04,44.63
2021-01-05,47.3
2021-01-06,47.82
2021-01-07,47.54
2021-01-08,47.48
2021-01-11,48.71
2021-01-12,50.15
2021-01-13,49.52
2021-01-14,50.81
2021-01-15,50.36
2021-01-19,51.99
2021-01-20,51.19
2021-01-21,50.49
2021-01-22,51.12
2021-01-25,48.11
2021-01-26,47.03
2021-01-27,48.01
2021-01-28,50.03
2021-01-29,47.92
2021-02-01,48.81
2021-02-02,50.0
2021-02-03,49.95
2021-02-04,48.85
2021-02-05,49.41
2021-02-08,52.21
2021-02-09,47.05
2021-02-10,46.7
2021-02-11,46.37
2021-02-12,48.11
2021-02-16,48.58
2021-02-17,48.78
2021-02-18,49.12
2021-02-19,49.6
2021-02-22,51.22
2021-02-23,56.51
2021-02-24,56.81
2021-02-25,50.03
2021-02-26,47.92
2021-03-01,47.17
2021-03-02,47.57
2021-03-03,49.05
2021-03-04,47.5
2021-03-05,49.31
