Date,Close
2020-03-11,2.85
2020-03-12,2.58
2020-03-13,3.49
2020-03-16,3.45
2020-03-17,4.35
2020-03-18,3.29
2020-03-19,3.81
2020-03-20,3.31
2020-03-23,3.18
2020-03-24,3.29
2020-03-25,3.12
2020-03-26,2.84
2020-03-27,2.81
2020-03-30,2.7
2020-03-31,2.9
2020-04-01,3.21
2020-04-02,3.39
2020-04-03,3.01
2020-04-06,3.27
2020-04-07,3.0
2020-04-08,2.97
2020-04-09,3.34
2020-04-13,3.65
2020-04-14,4.02
2020-04-15,3.51
2020-04-16,3.13
2020-04-17,3.35
2020-04-20,3.48
2020-04-21,3.34
2020-04-22,3.34
2020-04-23,2.99
2020-04-24,2.66
2020-04-27,2.87
2020-04-28,3.0
2020-04-29,3.26
2020-04-30,3.39
2020-05-01,3.23
2020-05-04,3.24
2020-05-05,2.95
2020-05-06,2.81
2020-05-07,2.73
2020-05-08,3.7
2020-05-11,3.7
2020-05-12,3.51
2020-05-13,3.0
2020-05-14,3.02
2020-05-15,2.94
2020-05-18,3.22
2020-05-19,3.15
2020-05-20,3.32
2020-05-21,3.43
2020-05-22,3.21
2020-05-26,3.15
2020-05-27,3.25
2020-05-28,3.28
2020-05-29,3.15
2020-06-01,3.04
2020-06-02,3.04
2020-06-03,3.04
2020-06-04,3.33
2020-06-05,4.32
2020-06-08,5.03
2020-06-09,4.92
2020-06-10,4.51
2020-06-11,3.45
2020-06-12,3.49
2020-06-15,3.41
2020-06-16,3.53
2020-06-17,3.22
2020-06-18,3.1
2020-06-19,3.14
2020-06-22,3.13
2020-06-23,3.13
2020-06-24,3.09
2020-06-25,3.1
2020-06-26,3.04
2020-06-29,2.96
2020-06-30,2.88
2020-07-01,2.74
2020-07-02,2.75
2020-07-06,2.89
2020-07-07,2.84
2020-07-08,2.76
2020-07-09,2.7
2020-07-10,2.87
2020-07-13,2.78
2020-07-14,2.72
2020-07-15,2.96
2020-07-16,2.98
2020-07-17,2.97
2020-07-20,2.9
2020-07-21,3.01
2020-07-22,2.87
2020-07-23,3.1
2020-07-24,3.41
2020-07-27,3.14
2020-07-28,3.22
2020-07-29,3.3
2020-07-30,3.2
2020-07-31,3.12
2020-08-03,3.12
2020-08-04,3.15
2020-08-05,2.9
2020-08-06,2.7
2020-08-07,2.52
2020-08-10,2.82
2020-08-11,2.79
2020-08-12,2.71
2020-08-13,2.56
2020-08-14,2.76
2020-08-17,2.75
2020-08-18,2.74
2020-08-19,2.66
2020-08-20,2.57
2020-08-21,2.39
2020-08-24,2.37
2020-08-25,2.35
2020-08-26,2.38
2020-08-27,2.39
2020-08-28,2.57
2020-08-31,2.61
2020-09-01,2.62
2020-09-02,2.6
2020-09-03,2.63
2020-09-04,2.7
2020-09-08,2.63
2020-09-09,2.71
2020-09-10,2.71
2020-09-11,2.91
2020-09-14,2.92
2020-09-15,3.03
2020-09-16,3.21
2020-09-17,3.73
2020-09-18,4.07
2020-09-21,3.86
2020-09-22,3.92
2020-09-23,3.52
2020-09-24,3.4
2020-09-25,3.05
2020-09-28,3.12
2020-09-29,2.44
2020-09-30,2.3
2020-10-01,2.2
2020-10-02,2.39
2020-10-05,2.18
2020-10-06,2.12
2020-10-07,2.07
2020-10-08,2.06
2020-10-09,2.04
2020-10-12,1.92
2020-10-13,1.75
2020-10-14,1.74
2020-10-15,1.66
2020-10-16,1.65
2020-10-19,1.53
2020-10-20,1.63
2020-10-21,1.68
2020-10-22,1.59
2020-10-23,1.57
2020-10-26,1.53
2020-10-27,1.44
2020-10-28,1.28
2020-10-29,1.3
2020-10-30,1.29
2020-11-02,1.31
2020-11-03,1.31
2020-11-04,1.2
2020-11-05,1.23
2020-11-06,1.17
2020-11-09,1.08
2020-11-10,0.831
2020-11-11,0.9
2020-11-12,0.986
2020-11-13,1.05
2020-11-16,1.2
2020-11-17,1.14
2020-11-18,1.15
2020-11-19,1.18
2020-11-20,1.17
2020-11-23,1.37
2020-11-24,1.5
2020-11-25,1.48
2020-11-27,1.62
2020-11-30,1.35
2020-12-01,1.34
2020-12-02,1.4
2020-12-03,1.29
2020-12-04,1.3
2020-12-07,1.25
2020-12-08,1.67
2020-12-09,1.48
2020-12-10,2.04
2020-12-11,1.99
2020-12-14,2.07
2020-12-15,2.02
2020-12-16,2.12
2020-12-17,2.11
2020-12-18,2.1
2020-12-21,1.99
2020-12-22,1.91
2020-12-23,1.86
2020-12-24,1.72
2020-12-28,2.4
2020-12-29,2.27
2020-12-30,2.27
2020-12-31,2.41
2021-01-04,2.94
2021-01-05,3.43
2021-01-06,3.29
2021-01-07,3.27
2021-01-08,3.21
2021-01-11,3.32
2021-01-12,3.46
2021-01-13,3.99
2021-01-14,4.2
2021-01-15,3.96
2021-01-19,4.06
2021-01-20,3.97
2021-01-21,3.45
2021-01-22,3.38
2021-01-25,3.21
2021-01-26,3.7
2021-01-27,4.67
2021-01-28,4.3
2021-01-29,3.83
2021-02-01,4.03
2021-02-02,4.34
2021-02-03,4.35
2021-02-04,3.7
2021-02-05,3.57
2021-02-08,3.72
2021-02-09,3.73
2021-02-10,3.63
2021-02-11,3.77
2021-02-12,4.22
2021-02-16,4.15
2021-02-17,4.12
2021-02-18,3.89
2021-02-19,3.87
2021-02-22,4.47
2021-02-23,5.0
2021-02-24,5.09
2021-02-25,4.37
2021-02-26,4.3
2021-03-01,4.08
2021-03-02,4.31
2021-03-03,4.17
2021-03-04,3.97
2021-03-05,4.02
