Date,Close
2020-03-11,31.24
2020-03-12,27.05
2020-03-13,30.11
2020-03-16,25.02
2020-03-17,25.18
2020-03-18,21.75
2020-03-19,24.55
2020-03-20,25.75
2020-03-23,23.55
2020-03-24,29.49
2020-03-25,29.68
2020-03-26,30.79
2020-03-27,28.06
2020-03-30,28.1
2020-03-31,29.55
2020-04-01,28.42
2020-04-02,32.48
2020-04-03,31.57
2020-04-06,31.47
2020-04-07,31.92
2020-04-08,34.23
2020-04-09,33.32
2020-04-13,32.91
2020-04-14,32.7
2020-04-15,30.89
2020-04-16,29.81
2020-04-17,33.83
2020-04-20,33.17
2020-04-21,31.84
2020-04-22,33.56
2020-04-23,34.71
2020-04-24,34.62
2020-04-27,35.64
2020-04-28,36.92
2020-04-29,40.5
2020-04-30,40.39
2020-05-01,37.55
2020-05-04,38.72
2020-05-05,39.26
2020-05-06,38.85
2020-05-07,40.7
2020-05-08,41.74
2020-05-11,40.96
2020-05-12,40.29
2020-05-13,38.65
2020-05-14,38.69
2020-05-15,39.6
2020-05-18,42.25
2020-05-19,41.35
2020-05-20,42.78
2020-05-21,42.36
2020-05-22,41.94
2020-05-26,42.32
2020-05-27,43.28
2020-05-28,41.68
2020-05-29,40.87
2020-06-01,42.04
2020-06-02,42.83
2020-06-03,43.72
2020-06-04,43.32
2020-06-05,47.08
2020-06-08,48.75
2020-06-09,47.12
2020-06-10,44.49
2020-06-11,40.81
2020-06-12,42.37
2020-06-15,42.01
2020-06-16,43.71
2020-06-17,42.65
2020-06-18,43.07
2020-06-19,42.34
2020-06-22,42.21
2020-06-23,42.45
2020-06-24,39.72
2020-06-25,40.76
2020-06-26,39.1
2020-06-29,40.02
2020-06-30,40.72
2020-07-01,39.48
2020-07-02,40.48
2020-07-06,40.34
2020-07-07,39.38
2020-07-08,39.77
2020-07-09,37.16
2020-07-10,38.46
2020-07-13,38.43
2020-07-14,40.03
2020-07-15,40.33
2020-07-16,40.3
2020-07-17,39.12
2020-07-20,38.5
2020-07-21,40.78
2020-07-22,40.03
2020-07-23,39.6
2020-07-24,39.43
2020-07-27,38.93
2020-07-28,38.14
2020-07-29,39.1
2020-07-30,36.84
2020-07-31,36.6
2020-08-03,35.93
2020-08-04,36.84
2020-08-05,37.22
2020-08-06,37.25
2020-08-07,37.49
2020-08-10,38.8
2020-08-11,38.87
2020-08-12,40.78
2020-08-13,39.77
2020-08-14,39.96
2020-08-17,39.84
2020-08-18,39.48
2020-08-19,38.81
2020-08-20,37.95
2020-08-21,37.35
2020-08-24,38.05
2020-08-25,38.03
2020-08-26,36.77
2020-08-27,37.34
2020-08-28,37.57
2020-08-31,37.09
2020-09-01,36.37
2020-09-02,35.61
2020-09-03,35.23
2020-09-04,35.1
2020-09-08,33.34
2020-09-09,33.73
2020-09-10,32.22
2020-09-11,32.41
2020-09-14,32.81
2020-09-15,33.09
2020-09-16,34.34
2020-09-17,35.33
2020-09-18,35.11
2020-09-21,33.63
2020-09-22,33.58
2020-09-23,32.22
2020-09-24,32.89
2020-09-25,32.99
2020-09-28,33.0
2020-09-29,31.77
2020-09-30,32.15
2020-10-01,31.74
2020-10-02,32.37
2020-10-05,33.56
2020-10-06,32.6
2020-10-07,33.6
2020-10-08,34.78
2020-10-09,34.39
2020-10-12,34.84
2020-10-13,34.14
2020-10-14,33.8
2020-10-15,34.65
2020-10-16,33.46
2020-10-19,32.4
2020-10-20,32.28
2020-10-21,30.36
2020-10-22,31.62
2020-10-23,32.24
2020-10-26,30.04
2020-10-27,29.98
2020-10-28,28.53
2020-10-29,28.89
2020-10-30,28.36
2020-11-02,29.95
2020-11-03,29.04
2020-11-04,30.1
2020-11-05,29.85
2020-11-06,28.92
2020-11-09,33.08
2020-11-10,35.21
2020-11-11,34.96
2020-11-12,33.7
2020-11-13,35.04
2020-11-16,37.73
2020-11-17,38.5
2020-11-18,38.82
2020-11-19,39.11
2020-11-20,39.29
2020-11-23,42.32
2020-11-24,44.01
2020-11-25,43.23
2020-11-27,42.39
2020-11-30,39.2
2020-12-01,38.91
2020-12-02,39.61
2020-12-03,40.83
2020-12-04,43.87
2020-12-07,42.43
2020-12-08,42.29
2020-12-09,42.31
2020-12-10,43.6
2020-12-11,43.08
2020-12-14,41.93
2020-12-15,42.41
2020-12-16,41.93
2020-12-17,41.59
2020-12-18,40.61
2020-12-21,39.87
2020-12-22,38.67
2020-12-23,39.72
2020-12-24,39.13
2020-12-28,38.94
2020-12-29,38.71
2020-12-30,39.65
2020-12-31,39.63
2021-01-04,39.21
2021-01-05,41.46
2021-01-06,43.11
2021-01-07,44.29
2021-01-08,44.29
2021-01-11,44.95
2021-01-12,46.99
2021-01-13,46.6
2021-01-14,47.43
2021-01-15,44.71
2021-01-19,45.58
2021-01-20,44.95
2021-01-21,42.8
2021-01-22,42.3
2021-01-25,42.19
2021-01-26,41.3
2021-01-27,40.28
2021-01-28,40.74
2021-01-29,39.67
2021-02-01,40.34
2021-02-02,40.6
2021-02-03,42.82
2021-02-04,43.61
2021-02-05,44.02
2021-02-08,46.35
2021-02-09,46.45
2021-02-10,46.82
2021-02-11,46.44
2021-02-12,47.16
2021-02-16,48.85
2021-02-17,49.36
2021-02-18,47.69
2021-02-19,48.42
2021-02-22,50.88
2021-02-23,52.1
2021-02-24,54.67
2021-02-25,53.03
2021-02-26,52.01
2021-03-01,52.61
2021-03-02,52.28
2021-03-03,53.66
2021-03-04,55.62
2021-03-05,58.34
