Date,Close
2016-03-07,36.42
2016-03-08,33.97
2016-03-09,34.35
2016-03-10,34.33
2016-03-11,35.64
2016-03-14,35.2
2016-03-15,35.04
2016-03-16,36.83
2016-03-17,37.83
2016-03-18,37.84
2016-03-21,37.46
2016-03-22,36.88
2016-03-23,35.06
2016-03-24,35.22
2016-03-28,34.91
2016-03-29,34.85
2016-03-30,35.26
2016-03-31,35.42
2016-04-01,34.99
2016-04-04,34.4
2016-04-05,34.34
2016-04-06,35.85
2016-04-07,35.46
2016-04-08,36.27
2016-04-11,36.23
2016-04-12,38.24
2016-04-13,38.34
2016-04-14,38.9
2016-04-15,38.44
2016-04-18,39.59
2016-04-19,41.4
2016-04-20,41.42
2016-04-21,40.67
2016-04-22,41.89
2016-04-25,40.7
2016-04-26,42.29
2016-04-27,42.32
2016-04-28,41.93
2016-04-29,42.04
2016-05-02,41.21
2016-05-03,39.66
2016-05-04,38.19
2016-05-05,38.01
2016-05-06,37.61
2016-05-09,36.64
2016-05-10,37.71
2016-05-11,38.42
2016-05-12,38.47
2016-05-13,37.84
2016-05-16,38.78
2016-05-17,38.51
2016-05-18,38.34
2016-05-19,38.36
2016-05-20,38.56
2016-05-23,38.57
2016-05-24,38.45
2016-05-25,39.72
2016-05-26,39.57
2016-05-27,39.22
2016-05-31,38.74
2016-06-01,38.98
2016-06-02,39.26
2016-06-03,39.09
2016-06-06,40.27
2016-06-07,42.06
2016-06-08,42.02
2016-06-09,41.2
2016-06-10,39.38
2016-06-13,38.82
2016-06-14,39.21
2016-06-15,38.67
2016-06-16,38.18
2016-06-17,39.06
2016-06-20,39.54
2016-06-21,39.64
2016-06-22,38.92
2016-06-23,40.37
2016-06-24,38.19
2016-06-27,36.08
2016-06-28,37.11
2016-06-29,38.85
2016-06-30,38.57
2016-07-01,38.49
2016-07-05,36.89
2016-07-06,37.07
2016-07-07,36.73
2016-07-08,37.42
2016-07-11,37.56
2016-07-12,38.75
2016-07-13,37.93
2016-07-14,38.06
2016-07-15,37.99
2016-07-18,37.79
2016-07-19,37.08
2016-07-20,37.19
2016-07-21,36.53
2016-07-22,36.28
2016-07-25,35.81
2016-07-26,36.3
2016-07-27,35.66
2016-07-28,35.83
2016-07-29,36.33
2016-08-01,35.25
2016-08-02,35.41
2016-08-03,35.88
2016-08-04,35.69
2016-08-05,36.13
2016-08-08,36.99
2016-08-09,36.7
2016-08-10,36.13
2016-08-11,36.84
2016-08-12,36.82
2016-08-15,37.54
2016-08-16,38.15
2016-08-17,38.45
2016-08-18,38.8
2016-08-19,38.56
2016-08-22,37.94
2016-08-23,38.47
2016-08-24,38.24
2016-08-25,38.08
2016-08-26,37.65
2016-08-29,37.69
2016-08-30,37.59
2016-08-31,36.54
2016-09-01,36.13
2016-09-02,36.42
2016-09-06,36.49
2016-09-07,36.92
2016-09-08,38.52
2016-09-09,37.6
2016-09-12,37.98
2016-09-13,36.5
2016-09-14,35.59
2016-09-15,35.63
2016-09-16,35.49
2016-09-19,34.96
2016-09-20,34.72
2016-09-21,35.65
2016-09-22,36.51
2016-09-23,35.55
2016-09-26,35.62
2016-09-27,35.09
2016-09-28,37.54
2016-09-29,38.86
2016-09-30,38.69
2016-10-03,38.65
2016-10-04,38.16
2016-10-05,39.08
2016-10-06,39.62
2016-10-07,39.36
2016-10-10,39.51
2016-10-11,38.56
2016-10-12,38.69
2016-10-13,37.73
2016-10-14,37.3
2016-10-17,36.79
2016-10-18,36.39
2016-10-19,37.35
2016-10-20,37.14
2016-10-21,37.19
2016-10-24,37.81
2016-10-25,37.43
2016-10-26,37.42
2016-10-27,39.39
2016-10-28,40.26
2016-10-31,38.9
2016-11-01,38.98
2016-11-02,38.7
2016-11-03,39.03
2016-11-04,38.28
2016-11-07,39.32
2016-11-08,39.68
2016-11-09,40.94
2016-11-10,40.09
2016-11-11,39.33
2016-11-14,39.5
2016-11-15,40.53
2016-11-16,39.73
2016-11-17,39.04
2016-11-18,40.07
2016-11-21,41.5
2016-11-22,41.24
2016-11-23,41.45
2016-11-25,40.95
2016-11-28,40.73
2016-11-29,39.59
2016-11-30,43.43
2016-12-01,43.17
2016-12-02,43.08
2016-12-05,43.76
2016-12-06,44.67
2016-12-07,44.67
2016-12-08,44.56
2016-12-09,45.45
2016-12-12,45.99
2016-12-13,47.12
2016-12-14,46.09
2016-12-15,46.32
2016-12-16,46.5
2016-12-19,46.53
2016-12-20,46.15
2016-12-21,46.08
2016-12-22,46.14
2016-12-23,45.98
2016-12-27,46.19
2016-12-28,45.45
2016-12-29,45.24
2016-12-30,44.88
2017-01-03,45.3
2017-01-04,45.73
2017-01-05,45.59
2017-01-06,45.42
2017-01-09,44.45
2017-01-10,44.45
2017-01-11,45.85
2017-01-12,44.89
2017-01-13,45.29
2017-01-17,44.89
2017-01-18,45.0
2017-01-19,44.63
2017-01-20,45.41
2017-01-23,44.7
2017-01-24,45.0
2017-01-25,45.38
2017-01-26,45.32
2017-01-27,44.25
2017-01-30,42.5
2017-01-31,43.65
2017-02-01,43.42
2017-02-02,43.59
2017-02-03,45.14
2017-02-06,44.84
2017-02-07,44.24
2017-02-08,44.4
2017-02-09,44.59
2017-02-10,45.12
2017-02-13,44.73
2017-02-14,45.12
2017-02-15,44.42
2017-02-16,43.5
2017-02-17,42.76
2017-02-21,43.32
2017-02-22,42.39
2017-02-23,42.57
2017-02-24,42.33
2017-02-27,42.62
2017-02-28,42.81
2017-03-01,44.14
2017-03-02,43.39
2017-03-03,43.04
2017-03-06,43.49
2017-03-07,42.95
2017-03-08,41.32
2017-03-09,41.83
2017-03-10,41.1
2017-03-13,41.25
2017-03-14,40.44
2017-03-15,41.25
2017-03-16,41.25
2017-03-17,41.12
2017-03-20,41.27
2017-03-21,40.66
2017-03-22,40.18
2017-03-23,40.03
2017-03-24,39.69
2017-03-27,39.86
2017-03-28,40.84
2017-03-29,41.35
