Date,Close
2020-03-11,78.39
2020-03-12,72.0
2020-03-13,78.76
2020-03-16,65.8
2020-03-17,66.74
2020-03-18,51.97
2020-03-19,54.18
2020-03-20,56.07
2020-03-23,51.19
2020-03-24,62.83
2020-03-25,65.4
2020-03-26,72.11
2020-03-27,64.93
2020-03-30,67.93
2020-03-31,68.41
2020-04-01,64.73
2020-04-02,71.86
2020-04-03,70.91
2020-04-06,75.9
2020-04-07,76.4
2020-04-08,81.17
2020-04-09,79.6
2020-04-13,80.16
2020-04-14,79.88
2020-04-15,77.88
2020-04-16,75.52
2020-04-17,82.3
2020-04-20,78.9
2020-04-21,77.08
2020-04-22,79.72
2020-04-23,81.95
2020-04-24,82.15
2020-04-27,84.69
2020-04-28,84.88
2020-04-29,89.33
2020-04-30,86.86
2020-05-01,84.44
2020-05-04,86.33
2020-05-05,87.7
2020-05-06,85.02
2020-05-07,87.46
2020-05-08,90.13
2020-05-11,88.15
2020-05-12,86.01
2020-05-13,83.74
2020-05-14,85.02
2020-05-15,84.18
2020-05-18,88.66
2020-05-19,85.85
2020-05-20,89.09
2020-05-21,88.17
2020-05-22,86.48
2020-05-26,89.38
2020-05-27,89.95
2020-05-28,87.05
2020-05-29,87.84
2020-06-01,88.89
2020-06-02,90.71
2020-06-03,93.09
2020-06-04,92.23
2020-06-05,96.57
2020-06-08,98.9
2020-06-09,97.26
2020-06-10,93.48
2020-06-11,85.61
2020-06-12,88.51
2020-06-15,87.39
2020-06-16,90.08
2020-06-17,87.69
2020-06-18,88.07
2020-06-19,86.82
2020-06-22,87.74
2020-06-23,87.6
2020-06-24,83.95
2020-06-25,85.46
2020-06-26,82.82
2020-06-29,83.98
2020-06-30,85.48
2020-07-01,83.94
2020-07-02,84.6
2020-07-06,84.85
2020-07-07,82.68
2020-07-08,82.72
2020-07-09,79.26
2020-07-10,81.65
2020-07-13,81.81
2020-07-14,84.64
2020-07-15,85.15
2020-07-16,84.64
2020-07-17,83.52
2020-07-20,81.68
2020-07-21,87.55
2020-07-22,87.21
2020-07-23,87.18
2020-07-24,86.34
2020-07-27,87.21
2020-07-28,85.36
2020-07-29,86.28
2020-07-30,82.64
2020-07-31,80.41
2020-08-03,81.24
2020-08-04,82.85
2020-08-05,83.53
2020-08-06,83.79
2020-08-07,83.15
2020-08-10,85.96
2020-08-11,85.85
2020-08-12,86.91
2020-08-13,86.04
2020-08-14,86.55
2020-08-17,86.95
2020-08-18,85.16
2020-08-19,83.95
2020-08-20,82.42
2020-08-21,82.68
2020-08-24,84.74
2020-08-25,83.7
2020-08-26,82.39
2020-08-27,82.51
2020-08-28,83.21
2020-08-31,81.56
2020-09-01,80.73
2020-09-02,80.84
2020-09-03,79.96
2020-09-04,79.62
2020-09-08,76.74
2020-09-09,77.77
2020-09-10,75.94
2020-09-11,75.5
2020-09-14,75.11
2020-09-15,74.19
2020-09-16,76.34
2020-09-17,76.57
2020-09-18,76.0
2020-09-21,74.15
2020-09-22,73.4
2020-09-23,69.92
2020-09-24,69.77
2020-09-25,69.8
2020-09-28,71.84
2020-09-29,69.87
2020-09-30,69.97
2020-10-01,68.43
2020-10-02,69.18
2020-10-05,70.65
2020-10-06,70.26
2020-10-07,71.7
2020-10-08,73.1
2020-10-09,71.91
2020-10-12,72.41
2020-10-13,71.33
2020-10-14,70.89
2020-10-15,71.43
2020-10-16,70.83
2020-10-19,69.27
2020-10-20,69.66
2020-10-21,68.87
2020-10-22,71.33
2020-10-23,70.52
2020-10-26,68.94
2020-10-27,67.55
2020-10-28,64.99
2020-10-29,66.86
2020-10-30,67.54
2020-11-02,70.11
2020-11-03,69.71
2020-11-04,69.74
2020-11-05,70.1
2020-11-06,69.14
2020-11-09,77.16
2020-11-10,80.72
2020-11-11,80.13
2020-11-12,78.39
2020-11-13,80.69
2020-11-16,86.45
2020-11-17,85.83
2020-11-18,83.11
2020-11-19,84.54
2020-11-20,84.59
2020-11-23,89.76
2020-11-24,94.29
2020-11-25,90.86
2020-11-27,90.04
2020-11-30,85.96
2020-12-01,86.23
2020-12-02,88.62
2020-12-03,88.55
2020-12-04,91.98
2020-12-07,89.49
2020-12-08,90.26
2020-12-09,89.18
2020-12-10,92.05
2020-12-11,91.16
2020-12-14,88.19
2020-12-15,88.12
2020-12-16,87.45
2020-12-17,87.18
2020-12-18,85.97
2020-12-21,84.89
2020-12-22,83.18
2020-12-23,84.5
2020-12-24,84.14
2020-12-28,83.72
2020-12-29,83.43
2020-12-30,84.14
2020-12-31,83.27
2021-01-04,83.53
2021-01-05,85.79
2021-01-06,88.55
2021-01-07,88.96
2021-01-08,89.81
2021-01-11,90.32
2021-01-12,92.04
2021-01-13,91.95
2021-01-14,94.16
2021-01-15,90.81
2021-01-19,93.19
2021-01-20,94.05
2021-01-21,90.73
2021-01-22,90.45
2021-01-25,89.63
2021-01-26,88.11
2021-01-27,86.97
2021-01-28,87.78
2021-01-29,84.01
2021-02-01,85.21
2021-02-02,85.85
2021-02-03,87.72
2021-02-04,87.76
2021-02-05,88.02
2021-02-08,90.2
2021-02-09,89.69
2021-02-10,91.23
2021-02-11,90.74
2021-02-12,91.26
2021-02-16,93.13
2021-02-17,95.92
2021-02-18,95.0
2021-02-19,95.8
2021-02-22,98.39
2021-02-23,99.63
2021-02-24,103.31
2021-02-25,102.35
2021-02-26,100.0
2021-03-01,102.05
2021-03-02,102.44
2021-03-03,103.59
2021-03-04,104.5
2021-03-05,109.0
