Date,Close
2016-03-07,10.47
2016-03-08,10.34
2016-03-09,10.54
2016-03-10,10.86
2016-03-11,11.21
2016-03-14,10.97
2016-03-15,10.66
2016-03-16,10.67
2016-03-17,10.67
2016-03-18,10.66
2016-03-21,10.74
2016-03-22,10.68
2016-03-23,10.16
2016-03-24,10.39
2016-03-28,10.42
2016-03-29,10.9
2016-03-30,10.75
2016-03-31,10.81
2016-04-01,10.95
2016-04-04,10.72
2016-04-05,10.66
2016-04-06,10.68
2016-04-07,10.69
2016-04-08,10.86
2016-04-11,10.93
2016-04-12,11.01
2016-04-13,11.12
2016-04-14,11.21
2016-04-15,11.29
2016-04-18,11.29
2016-04-19,11.54
2016-04-20,11.16
2016-04-21,11.19
2016-04-22,11.53
2016-04-25,11.89
2016-04-26,12.21
2016-04-27,12.36
2016-04-28,12.3
2016-04-29,12.28
2016-05-02,12.42
2016-05-03,12.03
2016-05-04,12.16
2016-05-05,11.78
2016-05-06,12.1
2016-05-09,11.53
2016-05-10,11.57
2016-05-11,11.46
2016-05-12,11.1
2016-05-13,11.24
2016-05-16,11.56
2016-05-17,11.6
2016-05-18,11.35
2016-05-19,11.31
2016-05-20,11.51
2016-05-23,11.71
2016-05-24,11.95
2016-05-25,11.79
2016-05-26,11.89
2016-05-27,11.84
2016-05-31,11.91
2016-06-01,11.96
2016-06-02,11.95
2016-06-03,12.09
2016-06-06,12.29
2016-06-07,12.49
2016-06-08,12.84
2016-06-09,12.77
2016-06-10,12.19
2016-06-13,12.02
2016-06-14,11.69
2016-06-15,11.52
2016-06-16,11.35
2016-06-17,11.54
2016-06-20,11.42
2016-06-21,11.19
2016-06-22,11.15
2016-06-23,11.48
2016-06-24,11.32
2016-06-27,11.24
2016-06-28,11.71
2016-06-29,12.05
2016-06-30,12.01
2016-07-01,12.32
2016-07-05,12.11
2016-07-06,11.99
2016-07-07,11.95
2016-07-08,12.2
2016-07-11,12.55
2016-07-12,12.46
2016-07-13,12.29
2016-07-14,12.4
2016-07-15,12.74
2016-07-18,12.82
2016-07-19,12.76
2016-07-20,13.33
2016-07-21,13.56
2016-07-22,13.46
2016-07-25,14.07
2016-07-26,14.09
2016-07-27,13.79
2016-07-28,13.83
2016-07-29,13.82
2016-08-01,13.53
2016-08-02,13.5
2016-08-03,13.83
2016-08-04,13.88
2016-08-05,13.93
2016-08-08,13.69
2016-08-09,13.23
2016-08-10,13.16
2016-08-11,13.6
2016-08-12,13.52
2016-08-15,13.53
2016-08-16,13.15
2016-08-17,12.94
2016-08-18,12.9
2016-08-19,13.01
2016-08-22,13.03
2016-08-23,13.33
2016-08-24,13.32
2016-08-25,13.43
2016-08-26,13.5
2016-08-29,13.59
2016-08-30,13.31
2016-08-31,13.15
2016-09-01,13.35
2016-09-02,13.63
2016-09-06,13.8
2016-09-07,14.14
2016-09-08,14.22
2016-09-09,13.47
2016-09-12,13.67
2016-09-13,12.88
2016-09-14,13.32
2016-09-15,13.49
2016-09-16,13.04
2016-09-19,13.42
2016-09-20,13.38
2016-09-21,13.84
2016-09-22,13.78
2016-09-23,13.65
2016-09-26,13.37
2016-09-27,13.38
2016-09-28,13.46
2016-09-29,13.4
2016-09-30,13.24
2016-10-03,12.89
2016-10-04,12.6
2016-10-05,12.74
2016-10-06,12.58
2016-10-07,12.33
2016-10-10,12.3
2016-10-11,12.3
2016-10-12,12.14
2016-10-13,12.03
2016-10-14,12.07
2016-10-17,12.03
2016-10-18,12.3
2016-10-19,12.46
2016-10-20,12.46
2016-10-21,12.61
2016-10-24,12.26
2016-10-25,12.34
2016-10-26,12.07
2016-10-27,11.95
2016-10-28,11.79
2016-10-31,12.03
2016-11-01,12.03
2016-11-02,11.52
2016-11-03,11.75
2016-11-04,12.1
2016-11-07,12.49
2016-11-08,12.49
2016-11-09,11.32
2016-11-10,11.36
2016-11-11,11.71
2016-11-14,11.95
2016-11-15,12.03
2016-11-16,11.87
2016-11-17,12.1
2016-11-18,12.1
2016-11-21,12.1
2016-11-22,12.42
2016-11-23,12.69
2016-11-25,12.57
2016-11-28,12.77
2016-11-29,12.41
2016-11-30,12.17
2016-12-01,11.94
2016-12-02,11.82
2016-12-05,11.94
2016-12-06,12.05
2016-12-07,12.37
2016-12-08,12.61
2016-12-09,12.73
2016-12-12,12.57
2016-12-13,12.69
2016-12-14,12.49
2016-12-15,12.45
2016-12-16,12.37
2016-12-19,12.49
2016-12-20,12.61
2016-12-21,12.49
2016-12-22,12.45
2016-12-23,12.53
2016-12-27,12.61
2016-12-28,12.69
2016-12-29,12.81
