Date,Close
2020-03-11,20.41
2020-03-12,18.09
2020-03-13,19.17
2020-03-16,15.89
2020-03-17,18.44
2020-03-18,16.62
2020-03-19,17.61
2020-03-20,18.78
2020-03-23,17.61
2020-03-24,18.07
2020-03-25,17.69
2020-03-26,19.35
2020-03-27,18.0
2020-03-30,18.2
2020-03-31,17.98
2020-04-01,17.12
2020-04-02,17.02
2020-04-03,17.57
2020-04-06,18.51
2020-04-07,18.21
2020-04-08,18.4
2020-04-09,19.16
2020-04-13,18.77
2020-04-14,19.09
2020-04-15,18.17
2020-04-16,18.27
2020-04-17,18.82
2020-04-20,18.33
2020-04-21,18.32
2020-04-22,18.89
2020-04-23,19.23
2020-04-24,19.29
2020-04-27,19.42
2020-04-28,19.88
2020-04-29,19.49
2020-04-30,19.16
2020-05-01,18.65
2020-05-04,18.84
2020-05-05,19.43
2020-05-06,18.98
2020-05-07,19.55
2020-05-08,20.11
2020-05-11,20.56
2020-05-12,20.09
2020-05-13,19.73
2020-05-14,19.61
2020-05-15,19.48
2020-05-18,20.02
2020-05-19,19.78
2020-05-20,20.06
2020-05-21,20.12
2020-05-22,20.24
2020-05-26,20.28
2020-05-27,20.58
2020-05-28,20.8
2020-05-29,21.16
2020-06-01,21.31
2020-06-02,21.5
2020-06-03,21.73
2020-06-04,22.08
2020-06-05,22.14
2020-06-08,22.6
2020-06-09,22.26
2020-06-10,22.22
2020-06-11,21.39
2020-06-12,21.4
2020-06-15,21.94
2020-06-16,23.04
2020-06-17,22.87
2020-06-18,23.0
2020-06-19,22.9
2020-06-22,23.91
2020-06-23,22.79
2020-06-24,22.4
2020-06-25,22.37
2020-06-26,21.94
2020-06-29,22.22
2020-06-30,22.27
2020-07-01,22.19
2020-07-02,22.42
2020-07-06,22.27
2020-07-07,22.22
2020-07-08,22.18
2020-07-09,21.45
2020-07-10,21.81
2020-07-13,21.95
2020-07-14,22.48
2020-07-15,22.69
2020-07-16,22.54
2020-07-17,22.8
2020-07-20,22.53
2020-07-21,23.11
2020-07-22,23.58
2020-07-23,23.78
2020-07-24,23.34
2020-07-27,23.11
2020-07-28,23.18
2020-07-29,23.66
2020-07-30,23.53
2020-07-31,23.7
2020-08-03,23.81
2020-08-04,24.1
2020-08-05,24.89
2020-08-06,24.89
2020-08-07,25.96
2020-08-10,25.82
2020-08-11,25.6
2020-08-12,25.7
2020-08-13,25.58
2020-08-14,25.34
2020-08-17,25.23
2020-08-18,25.2
2020-08-19,25.1
2020-08-20,24.86
2020-08-21,24.89
2020-08-24,24.87
2020-08-25,24.71
2020-08-26,24.46
2020-08-27,25.13
2020-08-28,24.74
2020-08-31,24.94
2020-09-01,24.42
2020-09-02,24.63
2020-09-03,23.84
2020-09-04,23.37
2020-09-08,22.81
2020-09-09,23.04
2020-09-10,22.56
2020-09-11,22.65
2020-09-14,23.93
2020-09-15,24.2
2020-09-16,25.13
2020-09-17,25.09
2020-09-18,25.21
2020-09-21,24.1
2020-09-22,24.31
2020-09-23,23.83
2020-09-24,23.73
2020-09-25,24.3
2020-09-28,24.33
2020-09-29,25.2
2020-09-30,26.36
2020-10-01,26.57
2020-10-02,26.96
2020-10-05,28.14
2020-10-06,29.03
2020-10-07,29.27
2020-10-08,30.08
2020-10-09,30.06
2020-10-12,29.32
2020-10-13,28.89
2020-10-14,28.89
2020-10-15,29.05
2020-10-16,29.01
2020-10-19,28.6
2020-10-20,29.37
2020-10-21,28.71
2020-10-22,28.79
2020-10-23,29.27
2020-10-26,28.41
2020-10-27,28.26
2020-10-28,27.85
2020-10-29,28.17
2020-10-30,27.54
2020-11-02,28.64
2020-11-03,29.01
2020-11-04,27.84
2020-11-05,29.26
2020-11-06,28.87
2020-11-09,28.65
2020-11-10,29.69
2020-11-11,29.96
2020-11-12,29.21
2020-11-13,29.19
2020-11-16,29.04
2020-11-17,28.69
2020-11-18,28.4
2020-11-19,28.42
2020-11-20,28.58
2020-11-23,28.6
2020-11-24,29.03
2020-11-25,28.67
2020-11-27,28.86
2020-11-30,28.93
2020-12-01,29.24
2020-12-02,29.19
2020-12-03,29.05
2020-12-04,29.61
2020-12-07,30.48
2020-12-08,30.76
2020-12-09,30.04
2020-12-10,30.03
2020-12-11,30.51
2020-12-14,30.16
2020-12-15,30.85
2020-12-16,30.8
2020-12-17,31.28
2020-12-18,31.81
2020-12-21,31.41
2020-12-22,32.16
2020-12-23,32.53
2020-12-24,32.29
2020-12-28,32.02
2020-12-29,31.4
2020-12-30,31.76
2020-12-31,31.56
2021-01-04,33.08
2021-01-05,33.2
2021-01-06,35.4
2021-01-07,36.1
2021-01-08,35.36
2021-01-11,34.4
2021-01-12,34.32
2021-01-13,34.39
2021-01-14,33.93
2021-01-15,33.39
2021-01-19,33.4
2021-01-20,34.1
2021-01-21,34.84
2021-01-22,34.71
2021-01-25,34.65
2021-01-26,32.6
2021-01-27,30.53
2021-01-28,31.25
2021-01-29,30.62
2021-02-01,30.89
2021-02-02,31.35
2021-02-03,31.38
2021-02-04,31.53
2021-02-05,32.06
2021-02-08,31.88
2021-02-09,31.84
2021-02-10,32.01
2021-02-11,31.75
2021-02-12,32.18
2021-02-16,31.49
2021-02-17,31.29
2021-02-18,30.93
2021-02-19,31.32
2021-02-22,29.29
2021-02-23,28.75
2021-02-24,28.86
2021-02-25,27.81
2021-02-26,27.46
2021-03-01,28.81
2021-03-02,28.45
2021-03-03,28.0
2021-03-04,27.38
2021-03-05,27.19
