Date,Close
2016-04-25,58.51
2016-04-26,58.73
2016-04-27,58.47
2016-04-28,57.32
2016-04-29,56.27
2016-05-02,57.45
2016-05-03,56.78
2016-05-04,57.06
2016-05-05,57.63
2016-05-06,58.38
2016-05-09,58.81
2016-05-10,58.89
2016-05-11,58.01
2016-05-12,58.52
2016-05-13,58.06
2016-05-16,58.11
2016-05-17,57.01
2016-05-18,57.49
2016-05-19,57.48
2016-05-20,58.01
2016-05-23,57.96
2016-05-24,59.83
2016-05-25,59.72
2016-05-26,59.29
2016-05-27,59.88
2016-05-31,60.19
2016-06-01,59.81
2016-06-02,59.4
2016-06-03,59.33
2016-06-06,59.39
2016-06-07,59.17
2016-06-08,59.76
2016-06-09,60.17
2016-06-10,60.09
2016-06-13,59.66
2016-06-14,59.46
2016-06-15,59.38
2016-06-16,59.46
2016-06-17,58.53
2016-06-20,57.81
2016-06-21,57.7
2016-06-22,57.81
2016-06-23,59.02
2016-06-24,57.73
2016-06-27,56.29
2016-06-28,57.36
2016-06-29,58.73
2016-06-30,59.26
2016-07-01,59.35
2016-07-05,59.18
2016-07-06,59.32
2016-07-07,59.49
2016-07-08,60.37
2016-07-11,60.87
2016-07-12,61.68
2016-07-13,61.55
2016-07-14,61.73
2016-07-15,61.86
2016-07-18,61.94
2016-07-19,62.37
2016-07-20,62.07
2016-07-21,61.73
2016-07-22,62.12
2016-07-25,62.71
2016-07-26,62.77
2016-07-27,64.91
2016-07-28,64.94
2016-07-29,64.84
2016-08-01,65.44
2016-08-02,65.24
2016-08-03,65.54
2016-08-04,65.45
2016-08-05,65.22
2016-08-08,64.6
2016-08-09,64.35
2016-08-10,64.44
2016-08-11,64.17
2016-08-12,64.28
2016-08-15,64.22
2016-08-16,63.48
2016-08-17,64.33
2016-08-18,64.44
2016-08-19,64.55
2016-08-22,64.58
2016-08-23,64.66
2016-08-24,64.4
2016-08-25,64.71
2016-08-26,64.59
2016-08-29,65.15
2016-08-30,65.37
2016-08-31,65.25
2016-09-01,65.64
2016-09-02,65.67
2016-09-06,65.52
2016-09-07,64.97
2016-09-08,64.33
2016-09-09,63.21
2016-09-12,63.67
2016-09-13,63.28
2016-09-14,63.23
2016-09-15,64.0
2016-09-16,63.95
2016-09-19,64.26
2016-09-20,64.09
2016-09-21,65.06
2016-09-22,64.85
2016-09-23,63.94
2016-09-26,63.37
2016-09-27,63.11
2016-09-28,62.79
2016-09-29,62.12
2016-09-30,62.18
2016-10-03,61.73
2016-10-04,61.49
2016-10-05,61.56
2016-10-06,62.0
2016-10-07,61.71
2016-10-10,61.15
2016-10-11,60.7
2016-10-12,61.18
2016-10-13,61.53
2016-10-14,61.9
2016-10-17,61.11
2016-10-18,60.95
2016-10-19,61.13
2016-10-20,60.51
2016-10-21,60.92
2016-10-24,61.03
2016-10-25,61.09
2016-10-26,59.55
2016-10-27,58.87
2016-10-28,59.0
2016-10-31,58.89
2016-11-01,58.48
2016-11-02,58.7
2016-11-03,59.06
2016-11-04,59.54
2016-11-07,60.26
2016-11-08,60.19
2016-11-09,61.61
2016-11-10,61.77
2016-11-11,61.16
2016-11-14,59.59
2016-11-15,59.36
2016-11-16,59.57
2016-11-17,59.71
2016-11-18,60.62
2016-11-21,60.73
2016-11-22,60.37
2016-11-23,60.15
2016-11-25,60.47
2016-11-28,59.45
2016-11-29,59.81
2016-11-30,59.0
2016-12-01,58.5
2016-12-02,58.81
2016-12-05,59.71
2016-12-06,61.24
2016-12-07,62.24
2016-12-08,62.39
2016-12-09,63.17
2016-12-12,63.33
2016-12-13,63.76
2016-12-14,63.13
2016-12-15,63.45
2016-12-16,62.95
2016-12-19,62.61
2016-12-20,62.9
2016-12-21,62.42
2016-12-22,62.16
2016-12-23,62.12
2016-12-27,62.46
2016-12-28,62.28
2016-12-29,61.97
2016-12-30,62.08
2017-01-03,61.67
2017-01-04,62.63
2017-01-05,62.56
2017-01-06,63.32
2017-01-09,62.68
2017-01-10,62.15
2017-01-11,62.63
2017-01-12,62.34
2017-01-13,62.62
2017-01-17,61.96
2017-01-18,62.2
2017-01-19,62.02
2017-01-20,62.3
2017-01-23,62.26
2017-01-24,62.84
2017-01-25,63.2
2017-01-26,63.66
2017-01-27,63.22
2017-01-30,63.06
2017-01-31,65.24
2017-02-01,65.43
2017-02-02,65.36
2017-02-03,65.05
2017-02-06,64.5
2017-02-07,64.15
2017-02-08,63.7
2017-02-09,63.91
2017-02-10,64.53
2017-02-13,65.39
2017-02-14,65.46
2017-02-15,65.9
2017-02-16,65.98
2017-02-17,66.14
2017-02-21,66.01
2017-02-22,65.89
2017-02-23,66.08
2017-02-24,66.08
2017-02-27,65.8
2017-02-28,65.77
2017-03-01,66.76
2017-03-02,65.9
2017-03-03,65.75
2017-03-06,66.0
2017-03-07,65.6
2017-03-08,65.42
2017-03-09,65.74
2017-03-10,65.63
2017-03-13,65.46
2017-03-14,65.4
2017-03-15,65.8
2017-03-16,66.11
2017-03-17,65.85
2017-03-20,65.75
2017-03-21,64.79
2017-03-22,64.76
2017-03-23,64.78
2017-03-24,64.89
2017-03-27,64.11
2017-03-28,64.24
2017-03-29,63.8
2017-03-30,64.47
2017-03-31,64.52
