Date,Close
2016-03-07,25.23
2016-03-08,25.45
2016-03-09,25.63
2016-03-10,25.5
2016-03-11,25.53
2016-03-14,25.54
2016-03-15,25.48
2016-03-16,25.82
2016-03-17,26.09
2016-03-18,26.12
2016-03-21,25.92
2016-03-22,25.8
2016-03-23,25.94
2016-03-24,26.12
2016-03-28,25.92
2016-03-29,26.24
2016-03-30,26.12
2016-03-31,26.09
2016-04-01,26.17
2016-04-04,26.17
2016-04-05,25.65
2016-04-06,25.73
2016-04-07,25.61
2016-04-08,25.75
2016-04-11,25.62
2016-04-12,25.8
2016-04-13,25.68
2016-04-14,25.61
2016-04-15,25.89
2016-04-18,25.96
2016-04-19,26.04
2016-04-20,25.46
2016-04-21,24.89
2016-04-22,25.23
2016-04-25,25.23
2016-04-26,25.47
2016-04-27,25.77
2016-04-28,25.68
2016-04-29,25.92
2016-05-02,26.03
2016-05-03,26.11
2016-05-04,26.33
2016-05-05,26.2
2016-05-06,26.12
2016-05-09,26.21
2016-05-10,26.37
2016-05-11,26.39
2016-05-12,26.71
2016-05-13,26.62
2016-05-16,26.78
2016-05-17,26.41
2016-05-18,26.02
2016-05-19,26.1
2016-05-20,26.31
2016-05-23,26.01
2016-05-24,26.43
2016-05-25,26.26
2016-05-26,26.61
2016-05-27,26.61
2016-05-31,26.68
2016-06-01,26.68
2016-06-02,26.61
2016-06-03,27.05
2016-06-06,27.04
2016-06-07,26.9
2016-06-08,27.3
2016-06-09,27.53
2016-06-10,27.5
2016-06-13,27.45
2016-06-14,27.75
2016-06-15,27.5
2016-06-16,27.73
2016-06-17,27.78
2016-06-20,27.59
2016-06-21,27.6
2016-06-22,27.46
2016-06-23,27.49
2016-06-24,27.49
2016-06-27,28.4
2016-06-28,28.53
2016-06-29,28.37
2016-06-30,28.96
2016-07-01,28.81
2016-07-05,29.06
2016-07-06,29.07
2016-07-07,28.5
2016-07-08,28.85
2016-07-11,28.8
2016-07-12,28.28
2016-07-13,28.46
2016-07-14,28.26
2016-07-15,28.33
2016-07-18,28.48
2016-07-19,28.45
2016-07-20,28.25
2016-07-21,28.48
2016-07-22,28.83
2016-07-25,28.76
2016-07-26,28.52
2016-07-27,28.24
2016-07-28,28.3
2016-07-29,28.49
2016-08-01,28.54
2016-08-02,28.34
2016-08-03,28.45
2016-08-04,28.3
2016-08-05,27.98
