Date,Close
2020-03-11,3.78
2020-03-12,3.27
2020-03-13,3.38
2020-03-16,2.76
2020-03-17,3.28
2020-03-18,2.83
2020-03-19,3.12
2020-03-20,3.32
2020-03-23,3.42
2020-03-24,3.73
2020-03-25,3.84
2020-03-26,3.81
2020-03-27,3.72
2020-03-30,3.58
2020-03-31,3.54
2020-04-01,3.31
2020-04-02,3.4
2020-04-03,3.35
2020-04-06,3.69
2020-04-07,3.65
2020-04-08,3.82
2020-04-09,3.82
2020-04-13,4.12
2020-04-14,4.27
2020-04-15,4.18
2020-04-16,4.49
2020-04-17,4.52
2020-04-20,4.42
2020-04-21,4.22
2020-04-22,4.33
2020-04-23,4.3
2020-04-24,4.4
2020-04-27,4.5
2020-04-28,4.44
2020-04-29,4.42
2020-04-30,4.18
2020-05-01,3.92
2020-05-04,4.09
2020-05-05,4.17
2020-05-06,4.17
2020-05-07,4.37
2020-05-08,4.55
2020-05-11,4.31
2020-05-12,4.28
2020-05-13,4.11
2020-05-14,4.06
2020-05-15,4.08
2020-05-18,4.17
2020-05-19,4.17
2020-05-20,4.22
2020-05-21,4.17
2020-05-22,4.11
2020-05-26,4.22
2020-05-27,4.33
2020-05-28,4.25
2020-05-29,4.21
2020-06-01,4.28
2020-06-02,4.15
2020-06-03,4.17
2020-06-04,5.0
2020-06-05,4.88
2020-06-08,5.28
2020-06-09,5.1
2020-06-10,5.66
2020-06-11,4.75
2020-06-12,5.06
2020-06-15,5.21
2020-06-16,5.45
2020-06-17,5.29
2020-06-18,5.39
2020-06-19,5.48
2020-06-22,5.57
2020-06-23,6.43
2020-06-24,7.57
2020-06-25,7.35
2020-06-26,6.83
2020-06-29,7.99
2020-06-30,8.21
2020-07-01,8.87
2020-07-02,9.1
2020-07-06,9.98
2020-07-07,9.34
2020-07-08,9.5
2020-07-09,8.95
2020-07-10,9.3
2020-07-13,8.31
2020-07-14,8.65
2020-07-15,9.04
2020-07-16,9.06
2020-07-17,8.99
2020-07-20,8.6
2020-07-21,9.08
2020-07-22,8.95
2020-07-23,8.53
2020-07-24,8.52
2020-07-27,8.35
2020-07-28,8.06
2020-07-29,8.19
2020-07-30,7.97
2020-07-31,7.71
2020-08-03,9.16
2020-08-04,9.13
2020-08-05,9.33
2020-08-06,10.73
2020-08-07,11.28
2020-08-10,12.04
2020-08-11,11.31
2020-08-12,10.63
2020-08-13,11.36
2020-08-14,11.4
2020-08-17,12.2
2020-08-18,12.77
2020-08-19,13.65
2020-08-20,13.67
2020-08-21,12.93
2020-08-24,12.34
2020-08-25,12.85
2020-08-26,13.05
2020-08-27,12.99
2020-08-28,13.07
2020-08-31,12.98
2020-09-01,14.13
2020-09-02,13.14
2020-09-03,11.55
2020-09-04,11.76
2020-09-08,11.73
2020-09-09,12.13
2020-09-10,12.12
2020-09-11,11.71
2020-09-14,12.24
2020-09-15,12.53
2020-09-16,12.94
2020-09-17,12.84
2020-09-18,13.56
2020-09-21,13.36
2020-09-22,12.93
2020-09-23,12.08
2020-09-24,11.24
2020-09-25,11.65
2020-09-28,13.2
2020-09-29,13.16
2020-09-30,13.41
2020-10-01,14.0
2020-10-02,14.14
2020-10-05,15.74
2020-10-06,16.23
2020-10-07,18.23
2020-10-08,17.88
2020-10-09,18.43
2020-10-12,17.64
2020-10-13,17.1
2020-10-14,17.3
2020-10-15,17.03
2020-10-16,16.27
2020-10-19,16.39
2020-10-20,16.29
2020-10-21,14.86
2020-10-22,14.96
2020-10-23,15.03
2020-10-26,14.46
2020-10-27,14.79
2020-10-28,14.8
2020-10-29,14.81
2020-10-30,14.0
2020-11-02,15.47
2020-11-03,16.95
2020-11-04,16.61
2020-11-05,18.84
2020-11-06,18.86
2020-11-09,20.31
2020-11-10,20.01
2020-11-11,23.0
2020-11-12,23.45
2020-11-13,23.43
2020-11-16,25.0
2020-11-17,22.98
2020-11-18,23.22
2020-11-19,23.79
2020-11-20,24.36
2020-11-23,26.87
2020-11-24,26.72
2020-11-25,26.16
2020-11-27,26.24
2020-11-30,26.39
2020-12-01,24.47
2020-12-02,24.07
2020-12-03,23.85
2020-12-04,24.85
2020-12-07,24.75
2020-12-08,28.74
2020-12-09,26.74
2020-12-10,27.19
2020-12-11,26.77
2020-12-14,25.7
2020-12-15,28.47
2020-12-16,28.46
2020-12-17,30.57
2020-12-18,31.63
2020-12-21,32.37
2020-12-22,35.69
2020-12-23,36.14
2020-12-24,35.58
2020-12-28,33.57
2020-12-29,32.46
2020-12-30,34.19
2020-12-31,33.91
2021-01-04,32.17
2021-01-05,32.55
2021-01-06,35.0
2021-01-07,47.29
2021-01-08,53.78
2021-01-11,53.97
2021-01-12,66.02
2021-01-13,69.5
2021-01-14,66.54
2021-01-15,60.14
2021-01-19,66.47
2021-01-20,62.5
2021-01-21,63.69
2021-01-22,66.87
2021-01-25,65.72
2021-01-26,73.18
2021-01-27,64.42
2021-01-28,65.28
2021-01-29,63.17
2021-02-01,63.85
2021-02-02,64.25
2021-02-03,67.38
2021-02-04,67.67
2021-02-05,65.77
2021-02-08,66.19
2021-02-09,67.48
2021-02-10,64.33
2021-02-11,63.99
2021-02-12,63.19
2021-02-16,59.0
2021-02-17,56.23
2021-02-18,50.23
2021-02-19,55.89
2021-02-22,48.6
2021-02-23,46.58
2021-02-24,50.16
2021-02-25,43.34
2021-02-26,48.38
2021-03-01,52.46
2021-03-02,48.78
2021-03-03,43.81
2021-03-04,40.02
2021-03-05,39.3
