Date,Close
2016-03-07,6.6
2016-03-08,6.68
2016-03-09,6.65
2016-03-10,7.15
2016-03-11,6.36
2016-03-14,6.36
2016-03-15,6.31
2016-03-16,6.63
2016-03-17,6.89
2016-03-18,6.69
2016-03-21,6.72
2016-03-22,6.57
2016-03-23,6.36
2016-03-24,6.24
2016-03-28,6.47
2016-03-29,6.4
2016-03-30,6.47
2016-03-31,6.48
2016-04-01,6.44
2016-04-04,6.3
2016-04-05,6.57
2016-04-06,6.97
2016-04-07,6.78
2016-04-08,6.75
2016-04-11,6.74
2016-04-12,6.74
2016-04-13,6.87
2016-04-14,7.15
2016-04-15,7.04
2016-04-18,7.09
2016-04-19,7.02
2016-04-20,7.27
2016-04-21,7.76
2016-04-22,7.91
2016-04-25,7.6
2016-04-26,7.7
2016-04-27,8.39
2016-04-28,8.02
2016-04-29,7.88
2016-05-02,7.97
2016-05-03,7.59
2016-05-04,7.47
2016-05-05,7.27
2016-05-06,7.5
2016-05-09,7.39
2016-05-10,6.37
2016-05-11,6.37
2016-05-12,6.15
2016-05-13,6.61
2016-05-16,6.35
2016-05-17,6.02
2016-05-18,6.04
2016-05-19,6.08
2016-05-20,6.11
2016-05-23,6.35
2016-05-24,6.34
2016-05-25,6.29
2016-05-26,6.36
2016-05-27,6.41
2016-05-31,6.34
2016-06-01,6.24
2016-06-02,6.31
2016-06-03,6.07
2016-06-06,6.44
2016-06-07,6.43
2016-06-08,6.52
2016-06-09,6.43
2016-06-10,6.3
2016-06-13,6.06
2016-06-14,5.91
2016-06-15,6.01
2016-06-16,6.03
2016-06-17,6.02
2016-06-20,6.18
2016-06-21,6.23
2016-06-22,5.9
2016-06-23,5.89
2016-06-24,5.59
2016-06-27,5.22
2016-06-28,5.49
2016-06-29,5.65
2016-06-30,5.93
2016-07-01,5.44
2016-07-05,5.14
2016-07-06,5.1
2016-07-07,5.14
2016-07-08,5.08
2016-07-11,5.09
2016-07-12,5.25
2016-07-13,5.12
2016-07-14,5.13
2016-07-15,5.07
2016-07-18,5.21
2016-07-19,5.15
2016-07-20,5.27
2016-07-21,5.12
2016-07-22,5.13
2016-07-25,5.08
2016-07-26,5.08
2016-07-27,5.26
2016-07-28,5.11
2016-07-29,5.18
2016-08-01,5.07
2016-08-02,5.0
2016-08-03,4.94
2016-08-04,4.96
2016-08-05,5.19
2016-08-08,5.56
2016-08-09,5.5
2016-08-10,5.22
2016-08-11,5.41
2016-08-12,6.23
2016-08-15,6.21
2016-08-16,6.09
2016-08-17,5.95
2016-08-18,6.03
2016-08-19,5.98
2016-08-22,6.0
2016-08-23,6.1
2016-08-24,5.99
2016-08-25,6.0
2016-08-26,5.95
2016-08-29,6.0
2016-08-30,6.01
2016-08-31,6.08
2016-09-01,6.06
2016-09-02,6.12
2016-09-06,6.22
2016-09-07,6.11
2016-09-08,6.19
2016-09-09,6.06
2016-09-12,6.1
2016-09-13,5.66
2016-09-14,5.54
2016-09-15,5.52
2016-09-16,5.38
2016-09-19,5.42
2016-09-20,5.45
2016-09-21,5.57
2016-09-22,5.75
2016-09-23,5.92
2016-09-26,6.03
2016-09-27,6.16
2016-09-28,6.23
2016-09-29,6.24
2016-09-30,6.3
2016-10-03,6.17
2016-10-04,5.91
2016-10-05,6.26
2016-10-06,6.12
2016-10-07,6.49
2016-10-10,6.91
2016-10-11,7.02
2016-10-12,6.81
2016-10-13,6.54
2016-10-14,6.38
2016-10-17,6.42
2016-10-18,6.53
2016-10-19,6.65
2016-10-20,6.67
2016-10-21,6.27
2016-10-24,6.08
2016-10-25,5.98
2016-10-26,5.53
2016-10-27,5.37
2016-10-28,5.18
2016-10-31,5.21
2016-11-01,4.86
2016-11-02,4.63
2016-11-03,4.65
2016-11-04,4.71
2016-11-07,4.92
2016-11-08,4.99
2016-11-09,4.79
2016-11-10,4.71
2016-11-11,5.11
2016-11-14,4.98
2016-11-15,4.91
2016-11-16,4.85
2016-11-17,4.8
2016-11-18,4.98
2016-11-21,4.82
2016-11-22,5.05
2016-11-23,5.28
2016-11-25,5.34
2016-11-28,5.38
2016-11-29,4.99
2016-11-30,5.1
2016-12-01,5.0
2016-12-02,5.09
2016-12-05,5.32
2016-12-06,5.46
2016-12-07,5.58
2016-12-08,5.65
2016-12-09,5.85
2016-12-12,5.65
2016-12-13,5.37
2016-12-14,5.24
2016-12-15,5.32
2016-12-16,5.59
2016-12-19,5.8
2016-12-20,5.55
2016-12-21,5.53
2016-12-22,5.44
2016-12-23,5.23
2016-12-27,5.61
2016-12-28,5.44
2016-12-29,5.33
2016-12-30,5.31
2017-01-03,5.59
2017-01-04,5.82
2017-01-05,5.81
2017-01-06,5.8
2017-01-09,5.67
2017-01-10,6.0
2017-01-11,6.4
2017-01-12,6.17
2017-01-13,6.25
2017-01-17,6.16
2017-01-18,6.1
2017-01-19,5.81
2017-01-20,5.88
2017-01-23,5.59
2017-01-24,5.65
2017-01-25,5.75
2017-01-26,5.7
2017-01-27,5.55
2017-01-30,5.25
2017-01-31,5.29
2017-02-01,5.57
2017-02-02,5.51
2017-02-03,5.66
2017-02-06,5.57
2017-02-07,5.59
2017-02-08,5.74
2017-02-09,5.73
2017-02-10,5.99
2017-02-13,6.06
2017-02-14,6.04
2017-02-15,6.17
2017-02-16,6.04
2017-02-17,5.96
2017-02-21,6.02
2017-02-22,5.83
2017-02-23,5.91
2017-02-24,5.85
2017-02-27,5.92
2017-02-28,5.69
2017-03-01,5.62
2017-03-02,5.48
2017-03-03,5.41
2017-03-06,5.25
2017-03-07,5.27
2017-03-08,5.24
2017-03-09,5.24
2017-03-10,5.06
2017-03-13,4.96
2017-03-14,4.89
2017-03-15,5.0
2017-03-16,5.1
2017-03-17,4.95
2017-03-20,4.9
2017-03-21,4.8
2017-03-22,4.98
2017-03-23,4.84
2017-03-24,4.91
2017-03-27,4.94
2017-03-28,5.08
