Date,Close
2020-03-11,38.77
2020-03-12,34.34
2020-03-13,35.21
2020-03-16,31.86
2020-03-17,34.0
2020-03-18,30.59
2020-03-19,31.8
2020-03-20,30.24
2020-03-23,29.05
2020-03-24,32.73
2020-03-25,34.44
2020-03-26,35.86
2020-03-27,34.13
2020-03-30,34.64
2020-03-31,35.07
2020-04-01,34.66
2020-04-02,37.32
2020-04-03,36.22
2020-04-06,37.38
2020-04-07,38.09
2020-04-08,40.5
2020-04-09,39.84
2020-04-13,39.5
2020-04-14,39.19
2020-04-15,37.39
2020-04-16,36.16
2020-04-17,39.92
2020-04-20,38.04
2020-04-21,37.83
2020-04-22,38.91
2020-04-23,40.13
2020-04-24,40.39
2020-04-27,40.59
2020-04-28,41.54
2020-04-29,43.84
2020-04-30,42.92
2020-05-01,39.85
2020-05-04,41.45
2020-05-05,41.41
2020-05-06,40.63
2020-05-07,40.86
2020-05-08,42.65
2020-05-11,42.25
2020-05-12,41.54
2020-05-13,39.48
2020-05-14,39.83
2020-05-15,39.55
2020-05-18,42.69
2020-05-19,41.37
2020-05-20,42.72
2020-05-21,41.96
2020-05-22,41.99
2020-05-26,43.23
2020-05-27,43.54
2020-05-28,42.41
2020-05-29,42.81
2020-06-01,43.58
2020-06-02,44.55
2020-06-03,46.36
2020-06-04,46.23
2020-06-05,49.98
2020-06-08,51.54
2020-06-09,50.39
2020-06-10,47.69
2020-06-11,43.48
2020-06-12,44.41
2020-06-15,44.39
2020-06-16,45.38
2020-06-17,43.91
2020-06-18,44.18
2020-06-19,43.29
2020-06-22,43.71
2020-06-23,43.97
2020-06-24,41.9
2020-06-25,42.53
2020-06-26,41.07
2020-06-29,41.73
2020-06-30,42.11
2020-07-01,41.16
2020-07-02,41.5
2020-07-06,41.8
2020-07-07,40.71
2020-07-08,40.62
2020-07-09,38.94
2020-07-10,40.16
2020-07-13,40.17
2020-07-14,41.49
2020-07-15,42.02
2020-07-16,41.69
2020-07-17,40.98
2020-07-20,40.02
2020-07-21,42.04
2020-07-22,41.06
2020-07-23,41.15
2020-07-24,40.89
2020-07-27,41.49
2020-07-28,41.01
2020-07-29,41.46
2020-07-30,39.42
2020-07-31,39.62
2020-08-03,39.78
2020-08-04,40.93
2020-08-05,41.29
2020-08-06,41.09
2020-08-07,40.9
2020-08-10,41.91
2020-08-11,42.34
2020-08-12,42.33
2020-08-13,41.3
2020-08-14,41.48
2020-08-17,40.94
2020-08-18,40.74
2020-08-19,40.29
2020-08-20,39.67
2020-08-21,39.38
2020-08-24,40.54
2020-08-25,39.25
2020-08-26,38.42
2020-08-27,38.16
2020-08-28,39.07
2020-08-31,38.35
2020-09-01,37.86
2020-09-02,37.63
2020-09-03,37.55
2020-09-04,37.52
2020-09-08,36.66
2020-09-09,36.44
2020-09-10,35.53
2020-09-11,35.43
2020-09-14,35.2
2020-09-15,34.82
2020-09-16,36.3
2020-09-17,36.29
2020-09-18,35.71
2020-09-21,34.98
2020-09-22,34.11
2020-09-23,33.02
2020-09-24,32.95
2020-09-25,33.26
2020-09-28,33.9
2020-09-29,32.91
2020-09-30,32.96
2020-10-01,31.81
2020-10-02,31.67
2020-10-05,32.4
2020-10-06,32.06
2020-10-07,32.16
2020-10-08,33.85
2020-10-09,33.36
2020-10-12,33.25
2020-10-13,32.86
2020-10-14,32.79
2020-10-15,33.08
2020-10-16,32.74
2020-10-19,32.09
2020-10-20,32.36
2020-10-21,31.84
2020-10-22,33.47
2020-10-23,32.8
2020-10-26,32.02
2020-10-27,31.51
2020-10-28,30.31
2020-10-29,31.66
2020-10-30,31.32
2020-11-02,32.64
2020-11-03,32.08
2020-11-04,31.91
2020-11-05,31.85
2020-11-06,31.47
2020-11-09,35.46
2020-11-10,36.24
2020-11-11,35.87
2020-11-12,34.64
2020-11-13,35.48
2020-11-16,37.52
2020-11-17,38.02
2020-11-18,36.59
2020-11-19,36.78
2020-11-20,36.32
2020-11-23,38.7
2020-11-24,41.28
2020-11-25,40.13
2020-11-27,39.52
2020-11-30,37.49
2020-12-01,37.86
2020-12-02,39.27
2020-12-03,39.54
2020-12-04,40.98
2020-12-07,40.22
2020-12-08,41.53
2020-12-09,42.09
2020-12-10,43.28
2020-12-11,43.07
2020-12-14,41.51
2020-12-15,42.32
2020-12-16,42.97
2020-12-17,42.75
2020-12-18,42.02
2020-12-21,41.25
2020-12-22,40.55
2020-12-23,41.07
2020-12-24,40.91
2020-12-28,41.04
2020-12-29,40.58
2020-12-30,40.91
2020-12-31,40.53
2021-01-04,40.81
2021-01-05,42.77
2021-01-06,43.87
2021-01-07,44.21
2021-01-08,44.7
2021-01-11,46.06
2021-01-12,47.08
2021-01-13,47.61
2021-01-14,49.47
2021-01-15,47.09
2021-01-19,48.02
2021-01-20,48.7
2021-01-21,47.31
2021-01-22,46.64
2021-01-25,46.12
2021-01-26,45.1
2021-01-27,44.59
2021-01-28,45.29
2021-01-29,44.09
2021-02-01,44.17
2021-02-02,44.87
2021-02-03,46.63
2021-02-04,47.52
2021-02-05,49.12
2021-02-08,51.23
2021-02-09,50.63
2021-02-10,51.12
2021-02-11,49.84
2021-02-12,50.52
2021-02-16,52.04
2021-02-17,52.85
2021-02-18,52.02
2021-02-19,52.37
2021-02-22,54.3
2021-02-23,55.05
2021-02-24,56.7
2021-02-25,55.76
2021-02-26,54.37
2021-03-01,56.4
2021-03-02,56.07
2021-03-03,56.52
2021-03-04,58.71
2021-03-05,60.93
