Date,Close
2016-03-07,66.17
2016-03-08,64.73
2016-03-09,64.55
2016-03-10,64.38
2016-03-11,64.39
2016-03-14,64.56
2016-03-15,64.88
2016-03-16,64.92
2016-03-17,65.88
2016-03-18,65.96
2016-03-21,65.51
2016-03-22,65.9
2016-03-23,65.61
2016-03-24,65.79
2016-03-28,65.98
2016-03-29,66.22
2016-03-30,66.21
2016-03-31,65.49
2016-04-01,64.99
2016-04-04,65.15
2016-04-05,64.4
2016-04-06,65.27
2016-04-07,64.53
2016-04-08,65.19
2016-04-11,65.27
2016-04-12,66.08
2016-04-13,66.46
2016-04-14,66.93
2016-04-15,66.57
2016-04-18,67.2
2016-04-19,67.54
2016-04-20,68.0
2016-04-21,67.99
2016-04-22,68.57
2016-04-25,68.42
2016-04-26,68.65
2016-04-27,69.3
2016-04-28,68.96
2016-04-29,69.25
2016-05-02,69.83
2016-05-03,69.03
2016-05-04,68.89
2016-05-05,68.97
2016-05-06,69.34
2016-05-09,69.39
2016-05-10,70.5
2016-05-11,70.16
2016-05-12,70.84
2016-05-13,70.04
2016-05-16,70.76
2016-05-17,70.73
2016-05-18,70.59
2016-05-19,71.19
2016-05-20,70.89
2016-05-23,70.78
2016-05-24,70.84
2016-05-25,71.3
2016-05-26,70.94
2016-05-27,71.11
2016-05-31,70.33
2016-06-01,70.5
2016-06-02,69.94
2016-06-03,69.81
2016-06-06,70.58
2016-06-07,71.66
2016-06-08,71.72
2016-06-09,71.63
2016-06-10,71.08
2016-06-13,71.57
2016-06-14,71.44
2016-06-15,71.23
2016-06-16,72.06
2016-06-17,71.67
2016-06-20,71.98
2016-06-21,72.31
2016-06-22,72.02
2016-06-23,72.52
2016-06-24,70.62
2016-06-27,70.2
2016-06-28,71.82
2016-06-29,73.04
2016-06-30,74.05
2016-07-01,74.13
2016-07-05,73.49
2016-07-06,74.33
2016-07-07,73.44
2016-07-08,73.9
2016-07-11,74.17
2016-07-12,75.01
2016-07-13,74.95
2016-07-14,75.01
2016-07-15,75.14
2016-07-18,74.91
2016-07-19,74.63
2016-07-20,74.2
2016-07-21,74.14
2016-07-22,74.27
2016-07-25,72.84
